,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
132,216519.0,2450.0,18.0,326.0,1503.0,1,0,9,0,0,90,5
133,2201152.0,626.0,16.0,259.0,15636.5,1,0,15,1,0,103,1
134,1316.0,986.0,3.0,21.0,265.0,1,0,28,1,0,104,1
135,7556.0,1304.0,10.0,1992.0,44.5,1,0,29,1,0,121,6
136,11684.0,2162.0,7.0,16.0,2450.0,1,0,4,1,0,24,2
137,102.0,6102.0,0.0,12.0,3.0,0,4,0,0,0,6,6
138,194.0,5798.0,0.0,22.0,8.0,0,5,0,0,0,0,0
139,459119.0,1060.0,14.0,933.0,41400.5,1,0,32,5,0,60,2
140,5647.0,1377.0,10.0,3149.0,7.0,1,0,29,5,0,118,2
141,100.0,6963.0,0.0,4.0,2.5,0,4,7,1,1,14,0
142,57.0,1109.0,0.0,5.0,5.0,0,5,7,0,4,0,0
143,15.0,21.0,0.0,0.0,,0,4,7,0,0,0,0
144,41.0,2953.0,0.0,22.0,,0,1,5,1,0,10,0
145,9772821.0,433.0,5.0,1450.0,40213.5,1,0,13,0,0,0,0
146,59503.0,1911.0,3.0,2853.0,838.5,1,0,7,0,0,132,0
147,124.0,1691.0,0.0,0.0,,1,0,9,0,0,0,0
148,47.0,544.0,0.0,5.0,0.0,0,4,0,0,0,0,0
149,53.0,832.0,0.0,22.0,0.0,0,7,0,0,0,0,0
150,547.0,510.0,1.0,54.0,36.5,1,0,18,1,0,51,6
151,116.0,6189.0,0.0,10.0,6.0,0,0,8,0,0,0,0
152,65.0,1141.0,0.0,0.0,,0,4,22,20,0,19,2
153,104.0,6056.0,0.0,4.0,2.5,0,4,11,1,4,0,0
154,1028.0,1018.0,6.0,12.0,204.0,1,0,6,0,0,0,0
155,810.0,1020.0,4.0,21.0,46.0,1,0,18,0,0,0,0
156,47.0,1872.0,0.0,4.0,1.5,0,4,0,0,0,0,0
157,327.0,5884.0,0.0,4.0,15.0,0,8,4,0,0,31,5
158,68.0,6197.0,0.0,29.0,2.0,0,6,0,0,0,0,0
159,217626.0,693.0,6.0,311.0,11381.5,1,0,21,2,0,88,2
160,32259.0,12.0,7.0,422.0,26.0,1,0,23,0,0,82,7
161,530.0,363.0,0.0,41.0,64.5,1,0,14,0,0,0,0
162,909.0,831.0,0.0,7.0,,1,0,18,2,0,107,6
163,105.0,6270.0,0.0,4.0,3.5,0,0,0,0,0,0,0
164,47.0,581.0,0.0,4.0,0.0,0,5,8,0,2,0,0
165,72.0,1507.0,0.0,24.0,0.0,0,3,5,0,0,0,0
166,136.0,6287.0,0.0,23.0,20.5,0,4,7,0,0,48,0
167,49.0,618.0,0.0,6.0,0.0,0,6,0,0,0,0,0
168,1810.0,1955.0,2.0,438.0,16.0,1,0,2,0,0,74,10
169,240.0,231.0,0.0,25.0,23.0,1,0,13,0,0,0,0
170,93.0,4946.0,0.0,22.0,0.0,0,5,0,0,0,0,0
171,102.0,6053.0,0.0,6.0,6.5,0,4,0,0,0,0,0
172,23785.0,167.0,0.0,26.0,4571.0,1,0,15,1,0,132,3
173,56.0,2950.0,0.0,0.0,,0,3,0,0,0,0,0
174,87.0,4122.0,0.0,4.0,7.5,0,6,8,8,0,78,4
175,3944.0,2804.0,0.0,12.0,,0,4,8,8,0,92,6
176,19643.0,1335.0,6.0,461.0,436.5,1,0,14,0,0,46,0
177,83.0,5491.0,0.0,4.0,1.0,0,3,0,0,0,0,0
178,1307.0,1305.0,6.0,153.0,98.5,1,0,14,0,0,77,0
179,80.0,1733.0,0.0,4.0,2.0,0,3,8,7,0,11,0
180,102.0,6291.0,0.0,21.0,5.0,0,5,0,0,0,0,0
181,5.0,125.0,0.0,4.0,0.0,0,3,0,0,0,0,0
182,4822676.0,932.0,6.0,3583.0,81041.5,1,0,13,2,0,130,2
183,206.0,6421.0,0.0,75.0,45.5,0,0,5,5,0,103,3
184,672.0,536.0,2.0,463.0,57.5,1,0,18,0,0,69,0
185,968.0,1117.0,0.0,4.0,,1,0,19,0,0,127,5
186,76.0,2237.0,0.0,4.0,11.5,0,4,0,0,0,0,0
187,1842.0,996.0,0.0,66.0,147.5,1,0,16,0,0,126,1
188,7726.0,533.0,2.0,79.0,197.0,1,0,25,2,0,72,0
190,12075.0,289.0,4.0,269.0,19.5,0,0,27,22,0,109,0
191,3.0,40.0,0.0,1.0,5.0,1,0,7,0,0,0,0
192,55.0,183.0,0.0,0.0,,0,0,10,1,0,0,0
193,128.0,6152.0,0.0,11.0,2.0,0,5,0,0,0,0,0
194,61.0,2566.0,0.0,6.0,,0,3,0,0,0,0,0
195,52.0,3152.0,0.0,7.0,4.0,0,4,0,0,0,0,0
196,1002.0,497.0,0.0,8.0,214.0,1,0,16,0,0,41,1
197,149.0,6460.0,0.0,22.0,10.5,0,5,6,0,0,0,0
198,149.0,6233.0,0.0,0.0,,0,0,16,12,0,12,0
199,144928.0,80.0,0.0,6.0,,1,0,16,1,0,97,0
200,55.0,1072.0,0.0,4.0,2.0,0,1,12,0,0,13,1
202,85.0,6812.0,0.0,5.0,0.0,0,3,0,0,0,0,0
203,106.0,6295.0,0.0,4.0,5.0,0,4,0,0,0,0,0
204,378571.0,1235.0,9.0,175.0,1837.0,1,0,5,0,0,60,3
205,39.0,1175.0,0.0,4.0,1.0,0,3,0,0,0,2,2
